connection	op	table	params
virtual-234	MERGE	txn2	138	138	"5"	"5"
virtual-236	SELECT	txn2	138
virtual-238	MERGE	txn2	138	138	"6"	"6"
virtual-239	MERGE	txn2	138	138	"8"	"8"
virtual-237	SELECT	txn2	127
virtual-240	SELECT	txn2	138
virtual-238	SELECT	txn0	101
virtual-241	SELECT	txn1	139
virtual-240	SELECT	txn0	137
virtual-237	MERGE	txn0	137	137	"4"	"4"
virtual-242	MERGE	txn0	137	137	"5"	"5"
virtual-238	MERGE	txn2	138	138	"7"	"7"
virtual-237	SELECT	txn0	137
virtual-241	MERGE	txn1	136	136	"4"	"4"
virtual-240	SELECT	txn2	138
virtual-243	MERGE	txn0	137	137	"6"	"6"
virtual-240	SELECT	txn1	139
virtual-243	SELECT	txn1	140
virtual-244	MERGE	txn1	140	140	"1"	"1"
virtual-243	SELECT	txn0	137
virtual-238	SELECT	txn2	138
virtual-247	MERGE	txn0	137	137	"7"	"7"
virtual-245	MERGE	txn1	140	140	"2"	"2"
virtual-246	SELECT	txn0	101
virtual-248	SELECT	txn1	140
virtual-247	SELECT	txn1	136
virtual-249	MERGE	txn0	137	137	"8"	"8"
virtual-250	MERGE	txn1	140	140	"7"	"7"
virtual-245	MERGE	txn1	140	140	"3"	"3"
virtual-246	MERGE	txn1	140	140	"4"	"4"
virtual-251	SELECT	txn1	140
virtual-247	SELECT	txn1	140
virtual-252	SELECT	txn0	137
virtual-255	SELECT	txn1	141
virtual-255	SELECT	txn1	141
virtual-247	MERGE	txn1	140	140	"5"	"5"
virtual-252	MERGE	txn1	141	141	"1"	"1"
virtual-253	MERGE	txn1	141	141	"2"	"2"
virtual-256	MERGE	txn0	142	142	"1"	"1"
virtual-253	SELECT	txn1	139
virtual-257	SELECT	txn1	141
virtual-254	MERGE	txn1	141	141	"4"	"4"
virtual-253	MERGE	txn1	141	141	"3"	"3"
virtual-256	MERGE	txn1	136	136	"8"	"8"
virtual-252	MERGE	txn1	136	136	"5"	"5"
virtual-259	SELECT	txn1	136
virtual-258	MERGE	txn1	141	141	"5"	"5"
virtual-260	SELECT	txn0	142
virtual-261	SELECT	txn0	142
virtual-254	SELECT	txn1	141
virtual-254	MERGE	txn1	136	136	"6"	"6"
virtual-264	SELECT	txn1	139
virtual-265	SELECT	txn2	143
virtual-265	SELECT	txn0	142
virtual-262	SELECT	txn0	142
virtual-263	SELECT	txn1	141
virtual-267	MERGE	txn1	141	141	"8"	"8"
virtual-263	SELECT	txn0	142
virtual-264	MERGE	txn0	142	142	"2"	"2"
virtual-267	SELECT	txn0	142
virtual-265	MERGE	txn1	141	141	"7"	"7"
virtual-266	SELECT	txn0	142
virtual-266	SELECT	txn0	142
virtual-267	MERGE	txn0	142	142	"3"	"3"
virtual-266	SELECT	txn1	139
virtual-263	MERGE	txn1	141	141	"6"	"6"
virtual-268	MERGE	txn0	142	142	"4"	"4"
virtual-269	SELECT	txn2	143
virtual-272	SELECT	txn2	143
virtual-271	MERGE	txn0	101	101	"5"	"5"
virtual-270	SELECT	txn0	142
virtual-268	MERGE	txn1	139	139	"1"	"1"
virtual-269	MERGE	txn1	144	144	"1"	"1"
virtual-271	MERGE	txn2	143	143	"1"	"1"
virtual-273	MERGE	txn0	142	142	"8"	"8"
virtual-271	MERGE	txn0	142	142	"7"	"7"
virtual-270	SELECT	txn1	144
virtual-274	SELECT	txn1	144
virtual-269	MERGE	txn0	142	142	"5"	"5"
virtual-273	SELECT	txn1	144
virtual-270	MERGE	txn0	142	142	"6"	"6"
virtual-276	SELECT	txn0	142
virtual-277	MERGE	txn2	143	143	"2"	"2"
virtual-277	MERGE	txn1	144	144	"4"	"4"
virtual-274	MERGE	txn1	144	144	"3"	"3"
virtual-276	MERGE	txn1	139	139	"2"	"2"
virtual-275	SELECT	txn1	139
virtual-280	SELECT	txn1	144
virtual-279	SELECT	txn1	144
virtual-279	MERGE	txn1	144	144	"7"	"7"
virtual-277	SELECT	txn1	144
virtual-280	MERGE	txn2	143	143	"3"	"3"
virtual-278	SELECT	txn2	143
virtual-276	SELECT	txn0	142
virtual-281	MERGE	txn1	2	2	"6"	"6"
virtual-281	SELECT	txn1	145
virtual-278	SELECT	txn1	139
virtual-280	MERGE	txn1	145	145	"1"	"1"
virtual-279	MERGE	txn1	144	144	"8"	"8"
virtual-280	MERGE	txn1	145	145	"2"	"2"
virtual-276	MERGE	txn1	139	139	"3"	"3"
virtual-279	SELECT	txn1	144
virtual-281	SELECT	txn0	142
virtual-278	MERGE	txn1	144	144	"5"	"5"
virtual-283	MERGE	txn2	143	143	"4"	"4"
virtual-281	SELECT	txn0	142
virtual-285	SELECT	txn1	146
virtual-282	SELECT	txn0	142
virtual-282	SELECT	txn0	142
virtual-282	SELECT	txn1	145
virtual-287	SELECT	txn1	123
virtual-284	MERGE	txn1	145	145	"3"	"3"
virtual-283	MERGE	txn1	123	123	"4"	"4"
virtual-289	SELECT	txn1	145
virtual-286	MERGE	txn1	146	146	"1"	"1"
virtual-284	SELECT	txn2	143
virtual-289	MERGE	txn1	145	145	"4"	"4"
virtual-284	SELECT	txn1	145
virtual-284	SELECT	txn1	145
virtual-286	SELECT	txn1	145
virtual-288	SELECT	txn1	146
virtual-283	SELECT	txn2	143
virtual-290	MERGE	txn1	146	146	"3"	"3"
virtual-290	MERGE	txn1	145	145	"5"	"5"
virtual-290	MERGE	txn1	139	139	"4"	"4"
virtual-286	SELECT	txn1	146
virtual-288	SELECT	txn1	145
virtual-292	MERGE	txn1	139	139	"5"	"5"
virtual-291	SELECT	txn2	143
virtual-286	SELECT	txn1	145
virtual-288	MERGE	txn1	146	146	"2"	"2"
virtual-290	MERGE	txn1	145	145	"6"	"6"
virtual-296	SELECT	txn1	139
virtual-294	MERGE	txn1	145	145	"7"	"7"
virtual-293	MERGE	txn2	143	143	"5"	"5"
virtual-297	MERGE	txn1	146	146	"5"	"5"
virtual-294	SELECT	txn1	145
virtual-295	SELECT	txn1	146
virtual-296	SELECT	txn1	145
virtual-297	SELECT	txn1	139
virtual-296	MERGE	txn2	143	143	"6"	"6"
virtual-298	SELECT	txn1	145
virtual-299	MERGE	txn2	143	143	"7"	"7"
virtual-295	SELECT	txn1	145
virtual-300	MERGE	txn1	145	145	"8"	"8"
virtual-297	MERGE	txn1	139	139	"6"	"6"
virtual-300	SELECT	txn1	146
virtual-297	SELECT	txn1	145
virtual-301	MERGE	txn1	139	139	"7"	"7"
virtual-295	SELECT	txn1	145
virtual-298	SELECT	txn1	146
virtual-295	SELECT	txn2	143
virtual-298	SELECT	txn1	145
virtual-303	SELECT	txn0	147
virtual-303	SELECT	txn1	146
virtual-304	SELECT	txn0	147
virtual-304	SELECT	txn0	147
virtual-304	MERGE	txn0	147	147	"2"	"2"
virtual-302	MERGE	txn0	147	147	"1"	"1"
virtual-307	MERGE	txn1	146	146	"6"	"6"
virtual-306	MERGE	txn0	147	147	"3"	"3"
virtual-305	SELECT	txn1	146
virtual-305	SELECT	txn1	146
virtual-302	MERGE	txn0	101	101	"6"	"6"
virtual-309	MERGE	txn1	146	146	"8"	"8"
virtual-308	MERGE	txn1	146	146	"7"	"7"
virtual-304	SELECT	txn1	139
virtual-307	SELECT	txn0	147
virtual-312	SELECT	txn1	146
virtual-312	MERGE	txn0	147	147	"4"	"4"
virtual-310	MERGE	txn1	139	139	"8"	"8"
